date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:55:59	108/108	---M-Z	200	added ('OK')	text/plain	etag:%22fdff2c727714cb968f6796e8d32745eb%22	https://leapuzoredirect.framer.website/robots.txt		(from )
10:55:59	171841/171841	---M-Z	200	added ('OK')	text/html	etag:%2264e1843df879ca82925eecb1d833b441%22	https://leapuzoredirect.framer.website/	C:/My%20Web%20Sites/leapuzoredirect/leapuzoredirect.framer.website/index.html	(from )
10:56:00	9584/9584	---MC-	200	added ('OK')	image/png	etag:%2217fcd1e4f226001e7a68c074b28d64f9%22	https://framerusercontent.com/images/QsINsZoEkmjULEGA1feA8eUK0HA.png	C:/My%20Web%20Sites/leapuzoredirect/framerusercontent.com/images/QsINsZoEkmjULEGA1feA8eUK0HA.png	(from https://leapuzoredirect.framer.website/)
10:56:00	11285/11285	---MC-	200	added ('OK')	image/png	etag:%2215e503c4f89e781cce011878078746d5%22	https://framerusercontent.com/images/HTIrhaqC5cQt3ATYdz73lh0kz2Q.png	C:/My%20Web%20Sites/leapuzoredirect/framerusercontent.com/images/HTIrhaqC5cQt3ATYdz73lh0kz2Q.png	(from https://leapuzoredirect.framer.website/)
10:56:00	18809/18809	---MC-	200	added ('OK')	image/png	etag:%22201f72854d39200cc3e1e4c904ad874d%22	https://framerusercontent.com/images/Rv1k0a33C0ObVrLrXZHtAQfpf9w.png	C:/My%20Web%20Sites/leapuzoredirect/framerusercontent.com/images/Rv1k0a33C0ObVrLrXZHtAQfpf9w.png	(from https://leapuzoredirect.framer.website/)
10:56:01	8131/8131	---MC-	200	added ('OK')	image/png	etag:%228c7d2b5849ad2d2ad79dd02cc7d972a2%22	https://framerusercontent.com/images/AOtnZGjeEE7Cc5iQLvSLsz4vaQ.png	C:/My%20Web%20Sites/leapuzoredirect/framerusercontent.com/images/AOtnZGjeEE7Cc5iQLvSLsz4vaQ.png	(from https://leapuzoredirect.framer.website/)
10:56:01	973/973	---MC-	200	added ('OK')	image/png	etag:%2212e22ea7d0c9d8f618aed29ea357b479%22	https://framerusercontent.com/images/vniufJMsSAXh18yjYsUsriXaJgw.png	C:/My%20Web%20Sites/leapuzoredirect/framerusercontent.com/images/vniufJMsSAXh18yjYsUsriXaJgw.png	(from https://leapuzoredirect.framer.website/)
10:56:01	789/789	---MC-	200	added ('OK')	image/png	etag:%22d61c7d2dca5f5162f9723cc6118de990%22	https://framerusercontent.com/images/yTyqzwdEKp9XJLQBwf8DmWnxws.png	C:/My%20Web%20Sites/leapuzoredirect/framerusercontent.com/images/yTyqzwdEKp9XJLQBwf8DmWnxws.png	(from https://leapuzoredirect.framer.website/)
10:56:01	1012/1012	---MC-	200	added ('OK')	image/png	etag:%22a382f7984c8f34b8c39118ad83e47398%22	https://framerusercontent.com/images/ffx7akDwhywGTdzIV6fqasW7N8.png	C:/My%20Web%20Sites/leapuzoredirect/framerusercontent.com/images/ffx7akDwhywGTdzIV6fqasW7N8.png	(from https://leapuzoredirect.framer.website/)
10:56:02	759/759	---MC-	200	added ('OK')	image/png	etag:%227d685c44641e12c2df596927d1287cc2%22	https://framerusercontent.com/images/QJyR5CNEY5EZDa18LPHJLBySZsY.png	C:/My%20Web%20Sites/leapuzoredirect/framerusercontent.com/images/QJyR5CNEY5EZDa18LPHJLBySZsY.png	(from https://leapuzoredirect.framer.website/)
10:56:02	288201/288201	---MC-	200	added ('OK')	image/png	etag:%22809a0575f0a64194754470166f5cb849%22	https://framerusercontent.com/images/Sq7Fh9MTlW0nIVVkWFqiMXfEm04.png?width=6375&height=4250	C:/My%20Web%20Sites/leapuzoredirect/framerusercontent.com/images/Sq7Fh9MTlW0nIVVkWFqiMXfEm044f4d.png	(from https://leapuzoredirect.framer.website/)
