date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:10:12	295181/295181	---M-Z	200	added ('OK')	text/html	etag:%22376734d4777502282b398c34354d1695%22	https://rahuldvc.framer.website/	C:/My%20Web%20Sites/rahul%20f%20dvc/rahuldvc.framer.website/index.html	(from )
10:10:12	101/101	---M-Z	200	added ('OK')	text/plain	etag:%229132d1b8188c3d2df5e360e269fbc933%22	https://rahuldvc.framer.website/robots.txt		(from )
10:10:12	9584/9584	---MC-	200	added ('OK')	image/png	etag:%2217fcd1e4f226001e7a68c074b28d64f9%22	https://framerusercontent.com/images/QsINsZoEkmjULEGA1feA8eUK0HA.png	C:/My%20Web%20Sites/rahul%20f%20dvc/framerusercontent.com/images/QsINsZoEkmjULEGA1feA8eUK0HA.png	(from https://rahuldvc.framer.website/)
10:10:12	11285/11285	---MC-	200	added ('OK')	image/png	etag:%2215e503c4f89e781cce011878078746d5%22	https://framerusercontent.com/images/HTIrhaqC5cQt3ATYdz73lh0kz2Q.png	C:/My%20Web%20Sites/rahul%20f%20dvc/framerusercontent.com/images/HTIrhaqC5cQt3ATYdz73lh0kz2Q.png	(from https://rahuldvc.framer.website/)
10:10:13	18809/18809	---MC-	200	added ('OK')	image/png	etag:%22201f72854d39200cc3e1e4c904ad874d%22	https://framerusercontent.com/images/Rv1k0a33C0ObVrLrXZHtAQfpf9w.png	C:/My%20Web%20Sites/rahul%20f%20dvc/framerusercontent.com/images/Rv1k0a33C0ObVrLrXZHtAQfpf9w.png	(from https://rahuldvc.framer.website/)
10:10:13	351743/351743	---MC-	200	added ('OK')	image/png	etag:%226cb824c35f514705c6b8deadcca66115%22	https://framerusercontent.com/images/qmdhdLL4GAKtxFQjtsLd1oFA2j0.png?width=1254&height=1254	C:/My%20Web%20Sites/rahul%20f%20dvc/framerusercontent.com/images/qmdhdLL4GAKtxFQjtsLd1oFA2j008fa.png	(from https://rahuldvc.framer.website/)
10:10:13	85796/85796	---MC-	200	added ('OK')	image/png	etag:%228e967343555f81b2a9f60ea8b0afee0a%22	https://framerusercontent.com/images/IWcmlXawFOLaEQ9FImXdTNfqVE.png?width=1200&height=960	C:/My%20Web%20Sites/rahul%20f%20dvc/framerusercontent.com/images/IWcmlXawFOLaEQ9FImXdTNfqVE9063.png	(from https://rahuldvc.framer.website/)
10:10:13	288201/288201	---MC-	200	added ('OK')	image/png	etag:%22809a0575f0a64194754470166f5cb849%22	https://framerusercontent.com/images/Sq7Fh9MTlW0nIVVkWFqiMXfEm04.png?width=6375&height=4250	C:/My%20Web%20Sites/rahul%20f%20dvc/framerusercontent.com/images/Sq7Fh9MTlW0nIVVkWFqiMXfEm044f4d.png	(from https://rahuldvc.framer.website/)
10:10:14	470944/470944	---MC-	200	added ('OK')	image/png	etag:%22af76e51c29edfa9823ac66cddf87f145%22	https://framerusercontent.com/images/D4ErzWG4z57fGk5ws1kcln2yE.png?lossless=1&width=1024&height=1536	C:/My%20Web%20Sites/rahul%20f%20dvc/framerusercontent.com/images/D4ErzWG4z57fGk5ws1kcln2yE1c8d.png	(from https://rahuldvc.framer.website/)
10:10:14	604276/604276	---MC-	200	added ('OK')	image/png	etag:%229c46de9e73e20bf115554019d7042415%22	https://framerusercontent.com/images/dbV6vI8wB9IqrWlKUOCLFbPg.png?lossless=1&width=1920&height=1080	C:/My%20Web%20Sites/rahul%20f%20dvc/framerusercontent.com/images/dbV6vI8wB9IqrWlKUOCLFbPg788e.png	(from https://rahuldvc.framer.website/)
10:10:14	9027/9027	---MC-	200	added ('OK')	image/png	etag:%2215346c8dc3f1e7d4fbff626239ebaa96%22	https://framerusercontent.com/images/opyeSvYWS7fHd8PD31j08NjC8E.png?width=748&height=334	C:/My%20Web%20Sites/rahul%20f%20dvc/framerusercontent.com/images/opyeSvYWS7fHd8PD31j08NjC8Efb76.png	(from https://rahuldvc.framer.website/)
10:10:14	9954/9954	---MC-	200	added ('OK')	image/png	etag:%2217015d8305129da93eb5c36394e35627%22	https://framerusercontent.com/images/FckZLFhAOojLt6Qi4hEyUK13jJY.png?width=720&height=346	C:/My%20Web%20Sites/rahul%20f%20dvc/framerusercontent.com/images/FckZLFhAOojLt6Qi4hEyUK13jJY9cd7.png	(from https://rahuldvc.framer.website/)
10:10:15	14369/14369	---MC-	200	added ('OK')	image/png	etag:%2229f9d0b517be6915368d7b15910cdd40%22	https://framerusercontent.com/images/6m4jWgDDaEAIuIKxxhYlweaEpA.png?width=661&height=377	C:/My%20Web%20Sites/rahul%20f%20dvc/framerusercontent.com/images/6m4jWgDDaEAIuIKxxhYlweaEpAc1b6.png	(from https://rahuldvc.framer.website/)
